127.0.0.1 - - [31/May/2023:09:04:38 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [31/May/2023:09:04:38 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:09:04:38 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:04:38 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:21 +0900] "POST /simpleBC/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:21 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:24 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:25 +0900] "GET /simpleBC/RegistServlet HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:27 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:28 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:32 +0900] "GET /simpleBC/RegistServlet HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:34 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:36 +0900] "GET /simpleBC/QuizServlet HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:39 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:42 +0900] "GET /simpleBC/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:24:42 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:09:42:28 +0900] "GET /simpleBC/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:42:28 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:03 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:03 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:10 +0900] "POST /simpleBC/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:10 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:15 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:15 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:15 +0900] "GET /simpleBC/images/meisi-.png HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:15 +0900] "GET /simpleBC/images/heart.png HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:15 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:16 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:16 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:16 +0900] "GET /simpleBC/images/meisi-.png HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:16 +0900] "GET /simpleBC/images/heart.png HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:16 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [31/May/2023:09:44:29 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:45:19 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:45:19 +0900] "GET /simpleBC/images/meisi-.png HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [31/May/2023:09:45:19 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [31/May/2023:09:45:19 +0900] "GET /simpleBC/images/heart.png HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [31/May/2023:09:45:19 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:38 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:38 +0900] "GET /simpleBC/images/meisi-.png HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:38 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:38 +0900] "GET /simpleBC/images/heart.png HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:38 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:52 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:46:52 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:09 +0900] "GET /simpleBC/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:09 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:09 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:34 +0900] "POST /simpleBC/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:34 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:34 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:37 +0900] "GET /simpleBC/RegistServlet HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:38 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:38 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:47:40 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:10:04:23 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:10:04:27 +0900] "GET /simpleBC/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:10:04:27 +0900] "GET /simpleBC/LoginServlet HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/May/2023:10:22:32 +0900] "POST /simpleBC/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2023:10:22:32 +0900] "GET /simpleBC/MenuServlet HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [31/May/2023:10:22:32 +0900] "GET /simpleBC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:10:22:45 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:10:22:53 +0900] "POST /simpleBC/SearchServlet HTTP/1.1" 200 10131
0:0:0:0:0:0:0:1 - - [31/May/2023:10:23:04 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [31/May/2023:10:23:07 +0900] "POST /simpleBC/SearchServlet HTTP/1.1" 200 16708
0:0:0:0:0:0:0:1 - - [31/May/2023:10:23:14 +0900] "GET /simpleBC/SearchServlet HTTP/1.1" 200 2094
